Position,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
1,Manchester City,38,32,2,4,95,23,72,98,20,"26,581",699.5,89%,783,20%,76.3
2,Liverpool,38,30,7,1,89,22,67,97,21,"23,638",606.1,84%,721,24%,187.43
3,Chelsea,38,21,9,8,63,39,24,72,16,"25,070",659.74,88%,692,19%,252.45
4,Tottenham Hotspur,38,23,2,13,67,39,28,71,13,"21,295",560.39,83%,643,26%,0.0
5,Arsenal,38,21,7,10,73,51,22,70,8,"20,805",547.5,83%,605,21%,39.0
6,Manchester United,38,19,9,10,65,54,11,66,7,"19,202",492.36,82%,638,20%,59.4
7,Wolverhampton Wanderers,38,16,9,13,47,46,1,57,9,"16,618",437.32,78%,622,25%,82.6
8,Everton,38,15,9,14,54,46,8,54,14,"16,494",434.05,77%,814,25%,116.75
9,Leicester City,38,15,7,16,51,48,3,52,10,"17,219",453.13,79%,779,21%,28.0
10,West Ham United,38,15,7,16,52,55,-3,52,7,"16,358",430.47,79%,630,24%,106.85
11,Watford,38,14,8,16,52,59,-7,50,7,"15,462",406.89,76%,570,18%,14.75
12,Crystal Palace,38,14,7,17,51,53,-2,49,12,"15,243",401.13,77%,577,24%,7.5
13,Newcastle United,38,12,9,17,42,48,-6,45,11,"13,490",355.0,73%,711,24%,37.96
14,Bournemouth,38,13,6,19,56,70,-14,45,10,"15,943",419.55,78%,613,27%,74.6
15,Burnley,38,11,7,20,45,68,-23,40,8,"13,011",342.39,70%,693,24%,35.8
16,Southampton,38,9,12,17,45,65,-20,39,7,"14,297",376.24,74%,664,24%,55.0
17,Brighton & Hove Albion,38,9,9,20,35,60,-25,36,7,"14,109",371.29,75%,636,29%,63.74
18,Cardiff City,38,10,4,24,34,69,-35,34,10,"10,226",269.11,64%,562,26%,22.5
19,Fulham,38,7,5,26,34,81,-47,26,5,"17,699",465.76,80%,611,23%,34.5
20,Huddersfield Town,38,3,7,28,22,76,-54,16,5,"15,902",418.47,76%,769,22%,42.29
